keyword,urlslug,priority,intent,articletype,targetwordcount,secondarykeywords,variants,direction,internallinkingurls,volume,kd,cannibalcheck,pillartarget,blogid
jewelry making kit for beginners,jewelry-making-kit-for-beginners,P1,"Informational, Commercial",buying-guide,,"jewelry making kit for beginners, beading kits for beginners, beginner jewelry m",,Top-of-funnel beginner guide.,,5000,17,✅ 安全,/bracelet-making-kit/,B21
bead art kit,bead-art-kit-guide,P1,"Commercial, Informational",buying-guide,,"bead art kit, bead art kits, bead art kits for adults, beading art kits, bead ar",,Education + buying guide.,,5000,18,✅ 安全,/bracelet-making-kit/,B22
kit friendship bracelets,friendship-bracelet-kit-guide,P1,"Commercial, Informational",buying-guide,,"kit friendship bracelets, friendship bracelet kit, best friendship bracelet kit,",,Definitive guide to friendship bracelet kits.,,2400,10,⚠️ 中风险,/product-category/friendship-bracelet-kit/,B23
letter bead,letter-beads-guide,P1,"Informational, Commercial",education,,"letter bead, letter bead kit, bead kit with letters, alphabet bead kit, letter b",,Deep-dive education on letter beads.,,720,15,✅ 安全,/product-category/bracelet-making-kit/,B24
bracelet kit with beads,bracelet-kit-with-beads,P1,"Informational, Transactional",buying-guide,,"bracelet kit with beads, bead making bracelet kit, bracelet kit diy, diy bracele",,Mid-funnel comparison guide.,,5000,13,⚠️ 中风险,/bracelet-making-kit/,B25
bracelet making kits for adults,bracelet-making-kits-for-adults-guide,P1,Commercial,buying-guide,,"bracelet making kits for adults, bracelet making kit for adults, adult bracelet",,Adult-specific buying guide.,,5000,19,✅ 安全,/product-category/adults-bracelet-making-kit/,B26
diy friendship bracelet kit,diy-friendship-bracelet-kit,P1,"Commercial, Informational",how-to,,"diy friendship bracelet kit, diy bracelet kit, diy bracelet making kit, diy bead",,KD7 — second lowest in library.,,500,7,✅ 安全,/product-category/friendship-bracelet-kit/,B27
jewelry making kit for kids,jewelry-making-kit-for-kids,P1,Commercial,buying-guide,,"jewelry making kit for kids, jewelry making kits for 8 year olds, jewelry making",,"Age-specific guide: 4-5 (large bead stringing, no sharp parts), 6-8 (clay bead k",,260,24,⚠️ 中风险,/product-category/kids-bracelet-making-kit/,B28
what string to use for bracelets,what-string-to-use-for-bracelets,P1,Informational,comparison,,"what string to use for bracelets, best string for bracelet making, bracelet stri",,DISTINCT from already-published B07 (/blog/what-string-is-best-for-bracelets/).,,390,12,⚠️ 中风险,/blog/what-string-is-best-for-bracelets/,B29
bracelet making kit comparison,bracelet-making-kit-comparison,P1,Commercial,comparison,,"bracelet making kit comparison, bracelet making kit review, different types of b",,Decision-helper for mid-funnel shoppers.,,170,21,✅ 安全,/product-category/bracelet-making-kit/,B30
